archivo_origen,año,bodega,categoria_busqueda,categoria_calidad,descuento,disponibilidad,nombre_completo,nombre_vino,num_reviews,pagina,posicion,posicion_global,posicion_pagina,precio_eur,precio_original,rating,region,session_id,timestamp,tipo_vino,url
vivino_diversificado_20250716_130100.csv,2019.0,Morca Garnacha,Ribera del Duero,Great Value,,Disponible,"Morca Garnacha 2019 Campo de Borja,España Great Value4,5265 valoraciones34,95 €",,5.0,,1.0,1.0,,34.95,,4.526,Campo de Borja,20250716_125646,2025-07-16 12:57:43,Tinto,https://www.vivino.com/morca-garnacha/w/5248344?year=2019&price_id=29492416
vivino_diversificado_20250716_130100.csv,2021.0,Bodegas Ateca Atteca,Ribera del Duero,Great Value,,Disponible,"Bodegas AtecaAtteca Armas Garnacha Old Vines 2021Calatayud,EspañaGreat Value4,4181 valoraciones34,20 €4,5Excelente opción muy recomendableIker Calderon (354 valoraciones)May 5, 2025503Cargar comentarios anteriores",,1.0,,2.0,1.0,,34.2,,4.418,Calatayud,20250716_125646,2025-07-16 12:57:43,Tinto,https://www.vivino.com/bodegas-ateca-atteca-armas-garnacha-old-vines/w/1204799?year=2021&price_id=34022126
vivino_diversificado_20250716_130100.csv,2022.0,Ahorra7,Ribera del Duero,Amazing Value,,Disponible,"Ahorra Morca Godina Garnacha 2022 Campo de Borja,EspañaAmazing Value!4,4203 valoraciones18,50 €19,90 €",,3.0,,4.0,1.0,,18.5,,4.42,Campo de Borja,20250716_125646,2025-07-16 12:57:43,Tinto,https://www.vivino.com/morca-godina-garnacha/w/5056642?year=2022&price_id=37554208
vivino_diversificado_20250716_130100.csv,2022.0,Morca Garnacha,Ribera del Duero,Great Value,,Disponible,"Morca Garnacha 2022 Campo de Borja,EspañaGreat Value4,4114 valoraciones32,60 €",,4.0,,5.0,1.0,,32.6,,4.411,Campo de Borja,20250716_125646,2025-07-16 12:57:43,Tinto,https://www.vivino.com/morca-garnacha/w/5248344?year=2022&price_id=38720217
vivino_diversificado_20250716_130100.csv,2021.0,Morca Garnacha,Ribera del Duero,Great Value,,Disponible,"Morca Garnacha 2021 Campo de Borja,EspañaGreat Value4,4247 valoraciones36,85 €",,7.0,,6.0,1.0,,36.85,,4.424,Campo de Borja,20250716_125646,2025-07-16 12:57:43,Tinto,https://www.vivino.com/morca-garnacha/w/5248344?year=2021&price_id=35337191
vivino_diversificado_20250716_130100.csv,2022.0,Bodegas Ateca Atteca,Ribera del Duero,Great Value,,Disponible,"Bodegas AtecaAtteca Armas Garnacha Old Vines 2022Calatayud,EspañaGreat Value4,43465 valoraciones36,70 €",,5.0,,7.0,1.0,,36.7,,4.4346,Calatayud,20250716_125646,2025-07-16 12:57:43,Tinto,https://www.vivino.com/bodegas-ateca-atteca-armas-garnacha-old-vines/w/1204799?year=2022&price_id=39124003
vivino_diversificado_20250716_130100.csv,2021.0,Alto Moncayo,Ribera del Duero,Good Value,,Disponible,"Alto MoncayoGarnacha 2021 Campo de Borja,EspañaGood Value4,3232 valoraciones34,90 €",,2.0,,8.0,1.0,,34.9,,4.323,Campo de Borja,20250716_125646,2025-07-16 12:57:43,Tinto,https://www.vivino.com/alto-moncayo-garnacha/w/98782?year=2021&price_id=35645848
vivino_diversificado_20250716_130100.csv,2021.0,Atalaya Alaya,Ribera del Duero,Great Value,,Disponible,"AtalayaAlaya Tierra 2021 Almansa,EspañaGreat Value4,31006 valoraciones31,95 €",,6.0,,9.0,1.0,,31.95,,4.31,España,20250716_125646,2025-07-16 12:57:43,Tinto,https://www.vivino.com/atalaya-almansa-alaya-tierra-almansa/w/3772025?year=2021&price_id=33111856
vivino_diversificado_20250716_130100.csv,2023.0,Comando GRozas,Ribera del Duero,Good Value,,Disponible,"Comando Grozas Vino de Pueblo 2023 Madrid,EspañaGood Value4,259 valoraciones44,98 €",,9.0,,10.0,1.0,,44.98,,4.25,Madrid,20250716_125646,2025-07-16 12:57:43,Tinto,https://www.vivino.com/comando-g-rozas-vino-de-pueblo-comunidad-de-madrid/w/12134241?year=2023&price_id=38488243
vivino_diversificado_20250716_130100.csv,2023.0,Comando GNavatalgordo,Catalunya Moderna,Great Value,,Disponible,"Comando GNavatalgordo 2023 Madrid,EspañaGreat Value4,261 valoraciones41,76 €",,1.0,,1.0,11.0,,41.76,,4.26,Madrid,20250716_125646,2025-07-16 12:58:10,Tinto,https://www.vivino.com/comando-g-navatalgordo-comunidad-de-madrid/w/12166125?year=2023&price_id=38460435
vivino_diversificado_20250716_130100.csv,2020.0,Alto Moncayo Veraton,Catalunya Moderna,Great Value,,Disponible,"Alto MoncayoVeraton Garnacha 2020 Campo de Borja,EspañaGreat Value4,2621 valoraciones27,01 €",,1.0,,2.0,11.0,,27.01,,4.262,Campo de Borja,20250716_125646,2025-07-16 12:58:10,Tinto,https://www.vivino.com/alto-moncayo-veraton-garnacha/w/98783?year=2020&price_id=37939554
vivino_diversificado_20250716_130100.csv,2020.0,Edetària Finca,Catalunya Moderna,Great Value,,Disponible,"EdetàriaFinca La Genuïna 2020 Terra Alta,EspañaGreat Value4,2144 valoraciones39,30 €",,4.0,,3.0,11.0,,39.3,,4.214,Terra Alta,20250716_125646,2025-07-16 12:58:10,Tinto,https://www.vivino.com/edetaria-finca-la-genuina/w/4763676?year=2020&price_id=37486516
vivino_diversificado_20250716_130100.csv,2021.0,Parés BaltàGarnatxa,Catalunya Moderna,Great Value,,Disponible,"Parés BaltàGarnatxa Hisenda Miret 2021Penedès,EspañaGreat Value4,255 valoraciones27,40 €",,5.0,,4.0,11.0,,27.4,,4.25,Penedès,20250716_125646,2025-07-16 12:58:10,Tinto,https://www.vivino.com/pares-balta-garnatxa-hisenda-miret/w/1670099?year=2021&price_id=38072651
